schedule_id,cnn,corridor,limits,weekday,scheduled_from_hour,scheduled_to_hour,citation_count,avg_citation_hour,min_citation_hour,max_citation_hour,avg_distance_meters,min_distance_meters,max_distance_meters
2000730,451000,09th St,Howard St  -  Tehama St,Thursday,2,6,24,10.0,10,10,67.01613084410069,8.558966565879485,159.0172910586494
2000731,447000,09th St,Jessie St  -  Mission St,Tuesday,0,6,12,10.0,10,10,56.69867728688694,9.496953758260775,100.17024718256961
2000732,447000,09th St,Jessie St  -  Mission St,Monday,2,6,31,10.0,10,10,35.849157944943485,12.858289387690618,81.09956292769013
2000733,447000,09th St,Jessie St  -  Mission St,Monday,0,6,31,10.0,10,10,35.849157944943485,12.858289387690618,81.09956292769013
2000734,447000,09th St,Jessie St  -  Mission St,Tuesday,2,6,12,10.0,10,10,56.69867728688694,9.496953758260775,100.17024718256961
2000735,446000,09th St,Market St  -  Jessie St,Tuesday,0,6,4,10.0,10,10,33.365155575083904,17.81273228176407,59.6830931378177
2000736,446000,09th St,Market St  -  Jessie St,Friday,2,6,5,10.0,10,10,21.463981661615556,12.858289387690618,41.023422075094956
2000737,446000,09th St,Market St  -  Jessie St,Friday,0,6,5,10.0,10,10,21.463981661615556,12.858289387690618,41.023422075094956
2000738,446000,09th St,Market St  -  Jessie St,Tuesday,2,6,4,10.0,10,10,33.365155575083904,17.81273228176407,59.6830931378177
2000743,449000,09th St,Minna St  -  Natoma St,Tuesday,0,6,12,10.0,10,10,56.58625900204263,11.57439613082422,176.62220611360098
2000744,449000,09th St,Minna St  -  Natoma St,Monday,2,6,37,10.0,10,10,72.92142918371258,8.73025420889612,132.33427073967928
2000745,449000,09th St,Minna St  -  Natoma St,Monday,0,6,37,10.0,10,10,72.92142918371258,8.73025420889612,132.33427073967928
2000746,449000,09th St,Minna St  -  Natoma St,Tuesday,2,6,12,10.0,10,10,56.58625900204263,11.57439613082422,176.62220611360098
2000747,448000,09th St,Mission St  -  Minna St,Tuesday,0,6,13,10.0,10,10,56.10648648172081,9.496953758260775,152.36013858886434
2000748,448000,09th St,Mission St  -  Minna St,Monday,2,6,37,10.0,10,10,42.99860815123086,8.73025420889612,145.1825269625718
2000749,448000,09th St,Mission St  -  Minna St,Monday,0,6,37,10.0,10,10,42.99860815123086,8.73025420889612,145.1825269625718
2000750,448000,09th St,Mission St  -  Minna St,Tuesday,2,6,13,10.0,10,10,56.10648648172081,9.496953758260775,152.36013858886434
2000751,450000,09th St,Natoma St  -  Howard St,Thursday,0,6,17,10.0,10,10,59.68416124624,15.363651047326604,131.0128504187104
2000752,450000,09th St,Natoma St  -  Howard St,Monday,2,6,43,10.0,10,10,92.84618219742599,9.319185761488015,182.5693984768163
2000753,450000,09th St,Natoma St  -  Howard St,Monday,0,6,43,10.0,10,10,92.84618219742599,9.319185761488015,182.5693984768163
2000754,450000,09th St,Natoma St  -  Howard St,Thursday,2,6,17,10.0,10,10,59.68416124624,15.363651047326604,131.0128504187104
2000755,455000,09th St,Ringold St  -  Sheridan St,Monday,2,6,38,10.0,10,10,111.06298163446615,79.4444854361814,166.19770515373747
2000756,455000,09th St,Ringold St  -  Sheridan St,Thursday,4,6,10,10.0,10,10,102.67442960470416,15.228182498962727,166.19770515373747
2000757,455000,09th St,Ringold St  -  Sheridan St,Thursday,2,6,10,10.0,10,10,102.67442960470416,15.228182498962727,166.19770515373747
2000758,455000,09th St,Ringold St  -  Sheridan St,Monday,4,6,38,10.0,10,10,111.06298163446615,79.4444854361814,166.19770515373747
