schedule_id,cnn,corridor,limits,weekday,scheduled_from_hour,scheduled_to_hour,citation_count,avg_citation_time,min_citation_time,max_citation_time
2007136,3976000,Chestnut St,Webster St  -  Fillmore St,Friday,9,11,48,9.594444444444443,9.35,9.883333333333333
2007137,3976000,Chestnut St,Webster St  -  Fillmore St,Tuesday,9,11,76,9.464912280701755,9.133333333333333,9.583333333333334
2007138,3988000,Chicago Way,Lapham Way  -  South Hill Blvd,Thursday,12,14,12,12.262499999999998,12.116666666666667,12.416666666666666
2007139,3988000,Chicago Way,Lapham Way  -  South Hill Blvd,Tuesday,12,14,26,12.278846153846153,12.066666666666666,12.466666666666667
2007140,3990000,Chicago Way,Naylor St  -  Cordova St,Tuesday,12,14,11,12.375757575757577,12.166666666666666,12.6
2007141,3990000,Chicago Way,Naylor St  -  Cordova St,Thursday,12,14,21,12.24920634920635,12.1,12.366666666666667
2007142,3989000,Chicago Way,South Hill Blvd  -  Naylor St,Tuesday,12,14,15,12.32777777777778,12.066666666666666,12.466666666666667
2007143,3989000,Chicago Way,South Hill Blvd  -  Naylor St,Thursday,12,14,12,12.256944444444443,12.1,12.416666666666666
2007144,3987000,Chicago Way,Start: 01-99 Block  -  Lapham Way,Thursday,12,14,6,12.27222222222222,12.2,12.35
2007145,3987000,Chicago Way,Start: 01-99 Block  -  Lapham Way,Tuesday,12,14,18,12.280555555555557,12.1,12.5
2007146,3995000,Chilton Ave,Bosworth St  -  End: 100-199 Block,Monday,11,13,3,12.016666666666666,11.766666666666667,12.333333333333334
2007147,3995000,Chilton Ave,Bosworth St  -  End: 100-199 Block,Thursday,11,13,29,11.799999999999999,11.683333333333334,12.033333333333333
2007149,3993000,Chilton Ave,Chenery St  -  Chilton Ave,Thursday,11,13,24,11.796527777777778,11.683333333333334,12.033333333333333
