schedule_id,cnn,corridor,limits,weekday,scheduled_from_hour,scheduled_to_hour,citation_count,avg_citation_time,min_citation_time,max_citation_time,avg_distance_meters,min_distance_meters,max_distance_meters
2004755,2613000,Baker St,Turk St  -  Anzavista Ave,Wednesday,9,11,108,11.734876543209877,9.633333333333333,12.416666666666666,87.54243556137229,7.436706336340016,195.12394476024016
2004756,2613000,Baker St,Turk St  -  Anzavista Ave,Friday,9,11,282,11.777659574468084,9.35,12.6,117.6584783126011,6.761089944359256,196.96794092957137
2004757,2631000,Baker St,Union St  -  Filbert St,Thursday,11,13,95,11.853157894736844,11.783333333333333,11.933333333333334,49.53312084028654,8.831159428178367,97.84952226072927
2004758,2631000,Baker St,Union St  -  Filbert St,Monday,11,13,86,11.943604651162788,11.633333333333333,12.833333333333334,40.76732078939231,8.633915176691154,97.87690975900456
2004759,2624000,Baker St,Washington St  -  Jackson St,Monday,12,14,201,12.684577114427862,12.5,13.083333333333334,37.75294712134948,9.040626668109272,91.7753463370854
2004760,2624000,Baker St,Washington St  -  Jackson St,Wednesday,12,14,57,12.653801169590643,6.733333333333333,13.1,38.00767322793476,9.34136906042723,113.26872357001912
2004761,2646000,Balboa St,02nd Ave  -  03rd Ave,Tuesday,8,10,55,8.808787878787879,8.633333333333333,9.0,26.63031034667229,8.892486437195716,71.6151192730146
2004762,2646000,Balboa St,02nd Ave  -  03rd Ave,Monday,8,10,21,8.494444444444447,8.333333333333334,8.533333333333333,24.304996641685484,8.88670124598593,80.05877959936414
2004763,2647000,Balboa St,03rd Ave  -  04th Ave,Tuesday,8,10,59,8.880508474576272,8.633333333333333,13.233333333333333,42.03696188998021,9.1375678911211,152.30403729804988
2004764,2647000,Balboa St,03rd Ave  -  04th Ave,Monday,8,10,33,8.495454545454546,8.366666666666667,8.533333333333333,39.517028310002416,8.88670124598593,88.44115355100557
2004765,2648000,Balboa St,04th Ave  -  05th Ave,Tuesday,8,10,68,8.921323529411765,8.633333333333333,13.233333333333333,50.751654252871454,11.928909476258776,88.50048855589377
2004766,2648000,Balboa St,04th Ave  -  05th Ave,Monday,8,10,34,8.504901960784313,8.366666666666667,8.566666666666666,42.87398123068339,10.106892065639837,146.20317545740565
2004767,2649000,Balboa St,05th Ave  -  06th Ave,Tuesday,8,10,51,8.966666666666667,8.633333333333333,13.233333333333333,36.96051838750009,11.928909476258776,108.1006877361108
2004768,2649000,Balboa St,05th Ave  -  06th Ave,Monday,8,10,34,8.576960784313727,7.166666666666667,12.1,44.26582590048523,10.106892065639837,144.73137808496102
2004769,2650000,Balboa St,06th Ave  -  07th Ave,Tuesday,8,10,57,8.8546783625731,8.35,12.466666666666667,51.36519999361416,9.987319596361932,142.78586109982606
2004770,2650000,Balboa St,06th Ave  -  07th Ave,Monday,8,10,52,8.569230769230769,7.166666666666667,12.1,36.94843298767383,9.47870578031859,86.4613438311496
2004771,2651000,Balboa St,07th Ave  -  08th Ave,Tuesday,8,10,57,10.43918128654971,8.35,13.116666666666667,31.27795136751128,8.985711856497247,77.1947108081046
2004772,2651000,Balboa St,07th Ave  -  08th Ave,Monday,8,10,43,8.579457364341087,7.166666666666667,12.1,36.70405442401762,9.47870578031859,109.71085374378929
2004773,2652000,Balboa St,08th Ave  -  09th Ave,Friday,9,11,44,9.48030303030303,7.25,9.7,30.249436373590644,8.8807958255753,123.50355501214592
2004774,2652000,Balboa St,08th Ave  -  09th Ave,Tuesday,13,15,63,11.782010582010583,8.35,13.316666666666666,33.07619477690235,8.985711856497247,87.98273851092752
2004775,2653000,Balboa St,09th Ave  -  10th Ave,Friday,9,11,62,9.545698924731184,9.4,9.766666666666667,43.785620706623845,8.8807958255753,86.19914441799796
2004776,2653000,Balboa St,09th Ave  -  10th Ave,Tuesday,13,15,60,12.962222222222222,8.733333333333333,13.35,46.676933385753905,8.777988385337594,100.65522962804384
2004777,2654000,Balboa St,10th Ave  -  11th Ave,Friday,9,11,49,9.573809523809524,9.4,9.766666666666667,38.37756590480913,8.819366642392477,88.42058101555504
2004778,2654000,Balboa St,10th Ave  -  11th Ave,Tuesday,13,15,50,13.121666666666664,13.05,13.35,48.790729852395835,8.777988385337594,101.17435857813304
2004779,2655000,Balboa St,11th Ave  -  12th Ave,Friday,9,11,40,9.585833333333333,9.4,9.783333333333333,52.9828759192273,8.819366642392477,109.26048648305338
2004780,2655000,Balboa St,11th Ave  -  12th Ave,Tuesday,13,15,47,13.132978723404253,13.083333333333334,13.35,42.039995383877155,8.785071193337405,107.4817587019132
2004781,2656000,Balboa St,12th Ave  -  Funston Ave,Friday,9,11,22,9.593181818181817,9.45,9.783333333333333,58.081740281327804,9.454455634065082,104.66606296531585
2004782,2656000,Balboa St,12th Ave  -  Funston Ave,Tuesday,13,15,33,13.123232323232322,13.083333333333334,13.166666666666666,44.211658392557354,8.785071193337405,86.92496840461251
2004783,2659000,Balboa St,14th Ave  -  15th Ave,Friday,9,11,31,9.566129032258065,9.35,9.783333333333333,55.95347264422473,8.766487964562419,182.29813949003164
2004784,2659000,Balboa St,14th Ave  -  15th Ave,Tuesday,13,15,39,13.121794871794872,13.083333333333334,13.166666666666666,91.55677594078227,9.248973623331256,182.31741713729937
2004785,2660000,Balboa St,15th Ave  -  16th Ave,Friday,9,11,33,9.556565656565658,9.35,9.733333333333333,60.707438832152484,8.903430293187375,162.5840976881625
2004786,2660000,Balboa St,15th Ave  -  16th Ave,Tuesday,13,15,49,13.121768707482994,12.366666666666667,13.383333333333333,46.5204599575241,8.951292627643136,93.24186776971187
2004787,2661000,Balboa St,16th Ave  -  17th Ave,Friday,9,11,40,9.562916666666666,9.35,9.733333333333333,120.93088448085966,20.03562164951001,192.2551008096311
2004788,2661000,Balboa St,16th Ave  -  17th Ave,Tuesday,13,15,69,13.129951690821256,12.366666666666667,13.383333333333333,85.4699698182016,8.863602519620443,192.23023706669863
2004789,2662000,Balboa St,17th Ave  -  18th Ave,Friday,9,11,60,9.505833333333332,9.316666666666666,9.716666666666667,44.79324826282308,9.272704122129364,187.1303527559595
2004790,2662000,Balboa St,17th Ave  -  18th Ave,Tuesday,13,15,91,13.156227106227108,12.366666666666667,13.4,80.75119421687711,8.661396298555136,187.08528959838532
2004791,2663000,Balboa St,18th Ave  -  19th Ave,Friday,9,11,102,9.511764705882353,9.316666666666666,9.716666666666667,51.856491214766585,9.099748177068577,170.35510160151085
