schedule_id,cnn,corridor,limits,cnn_right_left,block_side,weekday,scheduled_from_hour,scheduled_to_hour,citation_count,avg_citation_time,min_citation_time,max_citation_time
2002796,647000,15th St,South Van Ness Ave  -  Natoma St,R,North,Wednesday,6,8,19,6.4298245614035086,6.283333333333333,6.533333333333333
2002797,647000,15th St,South Van Ness Ave  -  Natoma St,R,North,Friday,6,8,20,6.5375,6.4,7.016666666666667
2002799,639000,15th St,Utah St  -  Potrero Ave,L,South,Friday,0,6,29,0.8235632183908045,0.6166666666666667,1.0833333333333333
2002800,639000,15th St,Utah St  -  Potrero Ave,R,North,Thursday,0,6,49,0.8544217687074829,0.7,1.35
2002801,655000,15th St,Valencia St  -  Albion St,L,South,Wednesday,9,11,55,9.687272727272726,9.3,9.983333333333333
2002802,655000,15th St,Valencia St  -  Albion St,L,South,Friday,9,11,89,9.809925093632957,9.533333333333333,10.2
2002803,655000,15th St,Valencia St  -  Albion St,R,North,Monday,9,11,97,9.913573883161513,9.5,10.25
2002804,655000,15th St,Valencia St  -  Albion St,R,North,Thursday,9,11,112,9.586904761904762,9.166666666666666,9.766666666666667
2002805,637000,15th St,Vermont St  -  San Bruno Ave,L,South,Friday,0,6,29,0.8235632183908045,0.6166666666666667,1.0833333333333333
2002806,637000,15th St,Vermont St  -  San Bruno Ave,R,North,Thursday,0,6,51,0.8493464052287583,0.6833333333333333,1.35
2002807,652000,15th St,Wiese St  -  Julian Ave,L,South,Tuesday,6,8,100,6.4435,6.15,6.933333333333334
2002808,652000,15th St,Wiese St  -  Julian Ave,L,South,Thursday,6,8,82,6.669918699186993,6.283333333333333,7.05
2002809,652000,15th St,Wiese St  -  Julian Ave,R,North,Monday,6,8,69,6.7818840579710145,6.35,7.766666666666667
2002810,652000,15th St,Wiese St  -  Julian Ave,R,North,Wednesday,6,8,85,6.460588235294117,6.3,6.7
2002811,652000,15th St,Wiese St  -  Julian Ave,R,North,Friday,6,8,86,6.565116279069769,6.383333333333334,6.816666666666666
2002812,674000,16th Ave,Anza St  -  Balboa St,L,East,Wednesday,8,10,58,8.831896551724139,8.716666666666667,9.2
2002813,674000,16th Ave,Anza St  -  Balboa St,R,West,Monday,8,10,50,8.869333333333334,8.766666666666667,9.083333333333334
2002814,675000,16th Ave,Balboa St  -  Cabrillo St,L,East,Wednesday,8,10,66,8.810858585858588,8.683333333333334,8.95
2002815,675000,16th Ave,Balboa St  -  Cabrillo St,R,West,Monday,8,10,43,8.918217054263568,8.8,9.116666666666667
2002816,676000,16th Ave,Cabrillo St  -  Fulton St,L,East,Wednesday,8,10,50,8.817666666666666,8.683333333333334,9.116666666666667
2002817,676000,16th Ave,Cabrillo St  -  Fulton St,R,West,Monday,8,10,47,8.939361702127659,8.8,9.15
2002818,671000,16th Ave,California St  -  Clement St,L,East,Wednesday,8,10,66,9.23333333333333,8.766666666666667,9.95
2002819,671000,16th Ave,California St  -  Clement St,R,West,Monday,8,10,75,9.258888888888889,8.716666666666667,9.85
2002820,692000,16th Ave,Cecelia Ave  -  Taraval St,L,East,Friday,12,14,18,12.405555555555557,12.25,12.633333333333333
2002821,692000,16th Ave,Cecelia Ave  -  Taraval St,R,West,Tuesday,12,14,25,12.413333333333334,12.233333333333333,12.65
2002822,672000,16th Ave,Clement St  -  Geary Blvd,L,East,Wednesday,8,10,90,8.894629629629629,8.75,9.25
2002823,672000,16th Ave,Clement St  -  Geary Blvd,R,West,Monday,8,10,61,8.827322404371586,8.733333333333333,9.083333333333334
2002824,673000,16th Ave,Geary Blvd  -  Anza St,L,East,Wednesday,8,10,61,8.854098360655739,8.733333333333333,9.2
2002825,673000,16th Ave,Geary Blvd  -  Anza St,R,West,Monday,8,10,57,8.868421052631579,8.75,9.083333333333334
2002826,678000,16th Ave,Irving St  -  Judah St,L,East,Wednesday,8,10,63,8.448412698412698,8.333333333333334,8.7
2002827,678000,16th Ave,Irving St  -  Judah St,R,West,Monday,8,10,41,8.377235772357725,8.3,8.433333333333334
2002828,679000,16th Ave,Judah St  -  Kirkham St,L,East,Wednesday,8,10,42,8.444841269841268,8.2,8.7
2002829,679000,16th Ave,Judah St  -  Kirkham St,R,West,Monday,8,10,52,8.393589743589743,8.283333333333333,8.466666666666667
2002830,670000,16th Ave,Lake St  -  California St,L,East,Wednesday,9,11,66,9.687373737373738,9.45,9.916666666666666
